gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,tenure_bucket,services_count,monthly_to_total_ratio,internet_no_techsupport,ExpectedTenure,CLV
0,0,0,0,8,1,0,0,0,0,2,2,0,2,0,0,3,64.1,504.05,3,5,0.982936817472699,0,24,1538.3999999999999
0,0,1,0,71,1,2,2,1,1,1,1,1,1,2,1,1,24.4,1725.4,2,2,0.9959593627337798,0,71,1732.3999999999999
1,0,1,1,58,1,2,0,2,2,2,2,0,0,2,0,1,71.6,4230.25,2,7,1.0186500674243886,0,58,4152.799999999999
1,0,1,1,63,1,0,0,2,2,2,2,2,0,2,0,1,74.5,4674.55,2,7,0.9959625013316289,0,63,4693.5
1,0,1,1,6,1,0,1,0,0,0,0,0,0,0,1,2,69.8,377.85,0,2,0.902220630372493,1,24,1675.1999999999998
0,1,0,0,14,0,1,0,2,0,2,2,0,0,2,0,3,39.7,692.35,1,4,1.2456818999640158,0,24,952.8000000000001
1,0,0,0,68,1,2,1,0,2,2,2,2,2,1,0,2,108.45,7176.55,2,8,0.973144306131858,0,68,7374.6
0,0,0,0,6,1,0,0,0,0,0,2,0,0,0,1,0,49.65,267.35,0,3,0.8974488083249414,0,24,1191.6
1,0,0,0,64,1,2,1,0,2,2,0,2,2,2,1,0,104.4,6692.65,2,7,1.0016537954980842,1,64,6681.6
1,0,0,0,7,1,0,2,1,1,1,1,1,1,1,0,3,19.5,128.6,3,1,0.9421245421245421,0,24,468.0
1,0,0,0,11,1,0,0,0,2,2,2,0,0,0,1,2,60.9,688.5,3,5,1.0277653381101657,0,24,1461.6
0,0,0,0,1,1,2,2,1,1,1,1,1,1,0,1,2,25.7,25.7,0,2,1.0,0,24,616.8
0,1,0,0,53,1,0,1,0,2,0,0,0,0,0,1,1,73.8,4003.85,2,3,1.023636038247175,1,53,3911.3999999999996
0,0,0,0,12,1,0,2,1,1,1,1,1,1,1,0,3,19.3,228.75,3,1,0.9876943005181347,0,24,463.20000000000005
0,0,1,0,33,1,0,0,0,2,0,2,0,0,1,1,1,53.75,1857.3,2,4,1.0471035940803382,0,33,1773.75
1,0,0,0,24,1,2,1,0,0,0,0,2,2,0,1,2,94.1,2322.85,1,5,1.0285379029401347,1,24,2258.3999999999996
1,0,0,0,70,0,1,0,0,0,0,2,0,2,2,1,3,40.05,2799.75,2,3,0.9986623863028358,0,70,2803.5
1,0,0,0,37,1,0,2,1,1,1,1,1,1,1,0,1,20.15,785.75,2,1,1.053919924887667,0,37,745.55
1,0,0,0,5,1,2,1,0,2,2,0,2,2,0,0,3,104.1,541.9,0,7,1.0411143131604226,1,24,2498.3999999999996
1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,3,70.45,70.45,0,2,1.0,1,24,1690.8000000000002
0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,70.3,70.3,0,2,1.0,1,24,1687.1999999999998
1,0,1,1,46,1,0,2,1,1,1,1,1,1,1,1,0,20.2,845.6,2,1,0.9100301334481276,0,46,929.1999999999999
0,0,1,0,24,1,2,0,2,2,2,0,0,0,0,0,3,66.3,1559.45,1,6,0.9800465057818001,1,24,1591.1999999999998
1,1,0,1,11,1,0,0,0,2,0,2,0,0,0,1,2,54.55,601.25,3,4,1.001999833347221,0,24,1309.1999999999998
0,0,0,0,9,1,0,1,0,0,0,0,0,0,0,0,2,69.05,651.5,3,2,1.0483546544372033,1,24,1657.1999999999998
1,0,0,0,4,1,2,2,1,1,1,1,1,1,0,0,3,25.25,101.9,0,2,1.008910891089109,0,24,606.0
0,0,0,0,2,1,0,2,1,1,1,1,1,1,0,0,1,20.35,35.1,0,1,0.8624078624078624,0,24,488.40000000000003
0,0,0,1,19,1,2,0,2,2,0,2,2,0,0,1,3,75.9,1375.6,1,7,0.9538866930171277,0,24,1821.6000000000001
1,0,1,1,18,1,0,2,1,1,1,1,1,1,1,0,0,20.05,345.9,1,1,0.9584372402327513,0,24,481.20000000000005
0,0,1,1,69,1,2,1,0,2,0,2,0,2,2,1,0,93.3,6398.05,2,6,0.9938409680475947,0,69,6437.7
1,1,0,0,70,0,1,0,0,2,2,0,2,0,1,1,1,44.05,3011.65,2,4,0.9766985568347657,1,70,3083.5
1,0,0,1,1,1,0,1,0,2,0,0,0,0,0,1,2,75.35,75.35,0,3,1.0,1,24,1808.3999999999999
0,0,1,1,13,1,0,2,1,1,1,1,1,1,2,0,3,19.55,265.3,1,1,1.0438717292937243,0,24,469.20000000000005
0,0,0,0,4,1,0,2,1,1,1,1,1,1,0,1,1,20.15,68.45,0,1,0.8492555831265509,0,24,483.59999999999997
0,0,1,0,1,0,1,0,0,0,0,0,0,2,0,0,2,35.0,35.0,0,2,1.0,1,24,840.0
1,0,0,1,3,1,0,0,0,0,0,0,2,0,0,1,1,54.7,169.45,0,3,1.0326020719073734,1,24,1312.8000000000002
1,0,0,0,62,1,0,2,1,1,1,1,1,1,2,1,1,20.05,1201.65,2,1,0.9666559407931783,0,62,1243.1000000000001
0,0,0,0,13,1,0,2,1,1,1,1,1,1,0,1,3,20.3,275.4,1,1,1.0435771125426296,0,24,487.20000000000005
0,1,0,0,66,1,2,1,0,2,0,0,0,0,0,1,1,80.45,5224.35,2,4,0.9839256455166959,1,66,5309.7
1,0,0,0,4,1,0,2,1,1,1,1,1,1,0,1,3,19.65,67.55,0,1,0.8594147582697201,0,24,471.59999999999997
1,1,0,0,9,1,0,1,0,0,0,0,0,2,0,1,2,79.55,718.55,3,3,1.0036315385152594,1,24,1909.1999999999998
1,0,1,1,69,1,2,1,0,0,2,0,0,0,2,1,1,79.2,5420.65,2,4,0.9919210218123261,1,69,5464.8
0,0,0,0,29,1,2,2,1,1,1,1,1,1,0,0,2,25.15,702.0,2,2,0.9625008569274013,0,29,729.3499999999999
0,0,1,1,31,1,2,1,0,0,2,2,2,2,0,1,2,104.2,3243.45,2,7,1.0041019131942293,0,31,3230.2000000000003
1,1,0,0,10,1,2,1,0,0,0,0,2,2,0,1,2,95.35,898.35,3,5,0.9421604614577871,1,24,2288.3999999999996
1,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,2,44.75,270.95,0,2,1.0091247672253258,1,24,1074.0
0,0,0,0,37,1,2,1,0,2,2,0,2,2,0,1,0,101.9,3545.35,2,7,0.9403363127602578,1,37,3770.3
1,0,1,1,15,1,0,1,2,0,0,0,0,0,0,0,3,75.1,1151.55,1,3,1.0222370173102528,1,24,1802.3999999999999
1,0,0,0,22,1,2,0,2,0,0,0,0,0,0,1,2,54.45,1127.35,1,4,0.9411052675515484,1,24,1306.8000000000002
0,0,1,1,28,1,0,1,0,0,0,0,0,0,1,1,0,70.4,1992.2,2,2,1.010653409090909,1,28,1971.2000000000003
0,0,0,0,4,0,1,0,2,0,2,0,0,0,0,0,3,35.0,135.75,0,3,0.9696428571428571,1,24,840.0
0,0,1,0,49,1,2,1,2,0,0,0,2,2,0,1,3,100.85,4847.35,2,6,0.9809173049487521,1,49,4941.65
1,1,1,0,71,1,0,0,2,2,0,2,2,0,1,1,0,71.0,5012.1,2,6,0.994267010513787,0,71,5041.0
1,0,1,1,30,1,2,1,0,0,0,0,2,0,0,0,2,85.45,2509.95,2,4,0.9791105909888823,1,30,2563.5
1,0,0,0,4,1,2,1,0,0,0,0,0,2,0,1,2,85.65,338.9,0,4,0.9892002335084645,1,24,2055.6000000000004
0,0,0,0,11,1,0,2,1,1,1,1,1,1,1,0,3,20.0,211.95,3,1,0.9634090909090909,0,24,480.0
0,0,0,0,8,1,0,2,1,1,1,1,1,1,1,1,3,19.2,161.95,3,1,1.0543619791666667,0,24,460.79999999999995
0,0,1,1,39,1,0,1,0,0,2,2,0,0,0,1,0,81.5,3107.3,2,4,0.9775994966179016,0,39,3178.5
1,1,1,1,56,1,2,1,2,0,2,0,2,2,1,1,0,104.55,5794.65,2,7,0.9897263783562205,1,56,5854.8
1,0,0,1,17,1,0,0,0,0,0,0,0,0,1,0,3,44.6,681.4,1,2,0.8987074650487997,1,24,1070.4
0,0,0,0,45,1,2,1,2,2,2,2,2,2,0,1,2,115.65,5125.5,2,9,0.9848681366191094,0,45,5204.25
0,0,1,0,3,1,2,1,0,0,0,0,2,2,0,0,2,94.9,273.2,0,5,0.9596066034422197,1,24,2277.6000000000004
1,0,1,1,54,1,2,0,0,0,2,0,0,2,2,0,1,63.35,3409.1,2,5,0.9965506153351457,1,54,3420.9
1,0,0,0,52,1,0,1,0,2,0,0,0,2,0,1,2,85.35,4338.6,2,4,0.9775584696498582,1,52,4438.2
0,0,0,1,37,1,0,2,1,1,1,1,1,1,1,0,0,20.3,755.4,2,1,1.0057249367594194,0,37,751.1
1,0,0,0,7,1,2,1,0,0,0,0,0,2,0,1,3,85.2,602.55,3,4,1.0103118712273642,1,24,2044.8000000000002
0,0,1,1,72,1,2,0,2,0,2,2,2,2,2,0,1,84.7,5893.9,2,8,0.9664666141938868,0,72,6098.400000000001
1,0,1,1,62,1,0,1,2,2,0,0,0,0,1,1,1,81.45,4983.05,2,4,0.9867621141012692,1,62,5049.900000000001
1,1,1,0,1,1,2,1,0,0,0,0,0,0,0,1,2,74.4,74.4,0,3,1.0,1,24,1785.6000000000001
1,1,1,0,12,1,0,1,0,0,0,0,0,2,0,1,2,80.45,950.2,3,3,0.9842552309923347,1,24,1930.8000000000002
1,0,1,0,38,1,2,1,2,0,2,2,2,2,1,1,2,110.7,4428.6,2,8,1.0527742119526458,0,38,4206.6
1,0,0,0,5,1,2,1,0,2,2,0,2,2,0,0,2,105.3,550.6,0,7,1.0457739791073124,1,24,2527.2
1,0,0,0,2,1,0,0,2,2,0,0,0,0,0,1,3,53.85,108.15,0,4,1.0041782729805013,1,24,1292.4
0,0,0,0,13,1,0,2,1,1,1,1,1,1,2,1,3,20.4,261.3,1,1,0.9852941176470589,0,24,489.59999999999997
0,0,1,1,52,1,0,0,0,0,2,0,0,0,1,1,0,50.95,2610.65,2,3,0.9853740469540273,1,52,2649.4
0,0,1,1,49,1,2,1,0,0,0,0,2,2,0,1,2,95.6,4783.5,2,5,1.021155324054308,1,49,4684.4
1,0,1,1,15,0,1,0,2,0,0,0,0,0,0,1,0,30.2,469.65,1,2,1.0367549668874172,1,24,724.8
0,0,1,1,71,0,1,0,2,2,0,2,2,2,2,0,0,59.7,4122.65,2,6,0.9726213225753179,0,71,4238.7
0,0,1,0,51,1,0,0,2,2,0,2,0,0,1,1,0,60.5,3145.15,2,5,1.019332361043591,0,51,3085.5
1,1,0,0,15,1,2,1,0,2,0,0,0,0,0,1,2,80.2,1217.25,1,4,1.0118453865336658,1,24,1924.8000000000002
0,0,1,1,69,1,2,0,2,2,0,2,2,0,1,0,1,73.7,4885.85,2,7,0.9607791084105166,0,69,5085.3
0,0,1,1,7,0,1,0,2,0,0,2,0,0,0,0,3,34.65,246.6,3,3,1.0166975881261595,0,24,831.5999999999999
0,0,1,0,72,1,2,1,2,2,2,2,2,0,2,1,0,103.95,7556.9,2,8,1.0096868152423706,0,72,7484.400000000001
1,0,1,1,13,1,0,2,1,1,1,1,1,1,0,1,3,19.85,252.0,1,1,0.9765549312148808,0,24,476.40000000000003
0,0,1,0,34,1,2,1,0,0,0,0,2,2,0,1,2,97.65,3207.55,2,5,0.9661004186620884,1,34,3320.1000000000004
1,0,0,0,26,1,0,2,1,1,1,1,1,1,1,0,1,19.8,457.3,2,1,0.8883061383061382,0,26,514.8000000000001
1,0,1,1,72,0,1,0,2,2,2,2,2,2,2,1,1,65.25,4478.85,2,7,0.953352490421456,0,72,4698.0
0,0,0,0,59,1,2,1,0,2,2,0,0,0,0,1,2,83.25,4949.1,2,5,1.0076042143838755,1,59,4911.75
0,0,1,1,43,1,2,1,0,0,2,0,0,2,0,1,0,92.55,4039.0,2,5,1.0149133717789252,1,43,3979.65
1,0,0,1,29,1,2,1,0,2,2,2,0,2,1,0,1,100.55,2830.45,2,7,0.9706785095766388,0,29,2915.95
1,0,1,1,55,1,0,1,0,2,0,2,0,0,0,0,2,79.4,4238.45,2,4,0.9705633157774215,0,55,4367.0
1,0,0,0,32,1,0,2,1,1,1,1,1,1,1,0,1,20.35,707.5,2,1,1.0864557739557739,0,32,651.2
0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,1,2,44.35,927.15,1,2,1.0452649379932355,1,24,1064.4
0,0,0,0,64,1,2,1,0,0,2,0,2,2,1,1,1,100.05,6254.2,2,6,0.9767303848075962,1,64,6403.2
1,0,1,0,47,1,2,1,0,0,0,0,2,2,1,1,1,95.2,4563.0,2,5,1.019801537636331,1,47,4474.400000000001
0,0,0,0,66,1,2,2,1,1,1,1,1,1,2,1,1,25.15,1683.6,2,2,1.0142779685523224,0,66,1659.8999999999999
0,0,0,1,40,1,0,0,2,0,0,2,2,0,0,1,1,64.1,2460.35,2,5,0.9595748829953198,0,40,2564.0
0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,2,50.1,50.1,0,3,1.0,1,24,1202.4
0,0,1,1,64,0,1,0,0,2,0,2,2,2,2,1,2,54.6,3423.5,2,5,0.9797103937728937,0,64,3494.4
1,1,1,0,20,1,2,1,0,2,0,2,2,2,0,0,2,107.05,2172.05,1,7,1.0145025688930407,0,24,2569.2
0,0,0,0,3,1,2,0,0,0,0,2,2,0,0,1,2,63.6,155.65,0,5,0.8157756813417191,0,24,1526.4
0,0,1,1,65,1,2,0,0,2,0,2,2,2,2,1,0,79.4,5071.9,2,7,0.982735903894594,0,65,5161.0
0,1,1,0,50,1,2,1,2,2,2,0,2,2,0,0,0,108.75,5431.9,2,8,0.9989701149425286,1,50,5437.5
0,0,1,1,72,1,0,2,1,1,1,1,1,1,2,0,0,20.1,1460.85,2,1,1.009432006633499,0,72,1447.2
0,0,1,0,72,1,2,1,2,0,2,2,2,0,2,1,0,98.2,7015.9,2,7,0.9922918081013803,0,72,7070.400000000001
0,0,1,1,72,1,2,1,2,0,2,2,2,2,2,0,3,107.45,7576.7,2,8,0.9793573238198644,0,72,7736.400000000001
0,0,1,0,70,1,2,1,0,0,2,2,2,2,2,1,0,104.3,7188.5,2,7,0.9845911518970004,0,70,7301.0
0,0,0,0,26,0,1,0,0,0,2,2,2,0,0,1,1,44.45,1183.8,2,4,1.0243142684087565,0,26,1155.7
1,0,0,0,21,1,2,1,0,0,0,0,0,0,0,0,3,75.3,1570.7,1,3,0.9932966546512364,1,24,1807.1999999999998
1,0,0,0,13,1,0,2,1,1,1,1,1,1,1,1,3,19.95,257.0,1,1,0.990938885675728,0,24,478.79999999999995
1,0,0,0,51,1,0,1,2,0,0,0,2,0,1,0,3,86.35,4267.15,2,4,0.9689589790751275,1,51,4403.849999999999
1,0,0,1,4,1,0,0,2,0,0,0,0,0,0,1,2,49.4,184.4,0,3,0.9331983805668017,1,24,1185.6
0,0,1,1,23,0,1,0,2,0,0,2,0,0,2,0,3,34.6,813.45,1,3,1.022178939432018,0,24,830.4000000000001
0,0,1,0,72,0,1,0,2,2,2,0,0,2,2,1,2,49.2,3580.95,2,5,1.0108824525745257,1,72,3542.4
1,0,1,1,71,1,0,2,1,1,1,1,1,1,2,1,0,19.6,1387.45,2,1,0.9970178212129922,0,71,1391.6000000000001
0,0,1,0,69,1,0,1,2,2,0,2,2,2,1,1,1,106.4,7251.9,2,7,0.987781954887218,0,69,7341.6
1,0,1,0,68,1,0,0,2,2,2,0,0,2,2,0,0,70.95,4741.45,2,6,0.9827654106039878,1,68,4824.6
0,0,0,0,35,1,0,2,1,1,1,1,1,1,1,0,3,21.1,741.0,2,1,1.0033852403520649,0,35,738.5
0,0,1,0,68,1,2,0,2,2,2,2,0,0,2,0,1,70.9,4911.35,2,7,1.018698664232971,0,68,4821.200000000001
1,0,0,0,44,1,0,1,0,0,0,0,0,0,0,0,1,68.85,2958.95,2,2,0.9767445698818248,1,44,3029.3999999999996
0,0,1,0,18,0,1,0,0,0,2,0,2,0,0,1,2,39.05,669.85,1,3,0.9529805093185375,1,24,937.1999999999999
0,0,0,0,6,1,0,0,2,2,0,0,0,0,0,0,3,55.15,322.9,0,4,0.975823511634935,1,24,1323.6
0,1,0,0,49,1,2,1,0,0,2,0,0,2,0,1,1,90.85,4515.85,2,5,1.014421618950277,1,49,4451.65
1,0,1,1,71,1,2,0,2,0,2,2,2,2,1,0,2,85.45,6300.85,2,8,1.038553144495999,0,71,6066.95
1,0,1,1,70,1,2,1,2,2,2,2,2,2,2,0,1,114.75,7842.3,2,9,0.9763211951447246,0,70,8032.5
0,0,1,1,13,1,0,2,1,1,1,1,1,1,0,0,3,18.8,251.25,1,1,1.0280278232405893,0,24,451.20000000000005
1,1,1,0,49,1,2,1,0,2,0,0,0,2,0,0,1,90.05,4547.25,2,5,1.0305499212455667,1,49,4412.45
0,0,0,0,9,1,2,1,0,0,0,0,0,0,0,1,1,75.2,633.85,3,3,0.936539598108747,1,24,1804.8000000000002
0,0,1,1,14,1,0,2,1,1,1,1,1,1,2,0,3,18.8,255.55,1,1,0.9709346504559271,0,24,451.20000000000005
0,0,0,0,53,1,2,1,2,2,2,0,2,0,1,0,3,98.6,5311.85,2,7,1.0164663783535537,1,53,5225.799999999999
1,0,1,1,36,1,0,0,2,2,0,0,0,0,1,0,3,53.65,1939.35,2,4,1.004116185150668,1,36,1931.3999999999999
1,1,1,0,23,1,2,1,0,0,0,0,0,2,0,0,2,86.8,1975.85,1,4,0.9897064716489682,1,24,2083.2
0,0,1,0,58,1,2,0,2,0,0,2,0,0,1,1,0,61.05,3478.75,2,5,0.982447965206586,0,58,3540.8999999999996
1,0,0,0,49,1,2,1,0,2,0,2,2,2,1,1,0,106.65,5168.1,2,7,0.988949166164356,0,49,5225.85
1,0,0,0,72,1,0,2,1,1,1,1,1,1,2,0,0,19.3,1414.8,2,1,1.0181347150259066,0,72,1389.6000000000001
0,1,0,0,18,1,0,1,0,0,2,0,0,2,0,1,2,84.95,1443.65,1,4,0.944117454711922,1,24,2038.8000000000002
0,0,0,0,10,1,2,1,0,0,2,0,2,2,0,1,2,100.6,1060.2,3,6,1.0538767395626243,1,24,2414.3999999999996
1,1,1,0,21,1,0,1,0,0,0,0,0,0,0,1,2,69.1,1474.75,1,2,1.0162979808421198,1,24,1658.3999999999999
0,0,1,1,55,1,2,1,2,2,0,0,0,0,0,1,2,85.1,4600.95,2,5,0.98300395256917,1,55,4680.5
1,0,0,0,72,0,1,0,2,2,2,2,2,2,2,1,0,63.7,4464.8,2,7,0.9734868306296877,0,72,4586.400000000001
1,0,1,0,49,1,0,1,0,2,0,0,2,2,2,1,2,94.8,4690.65,2,5,1.0097842934642212,1,49,4645.2
0,0,0,0,38,1,2,0,2,2,2,0,0,0,0,1,0,66.15,2522.4,2,6,1.0034610335362215,1,38,2513.7000000000003
0,0,1,1,8,1,0,0,0,2,0,2,0,0,0,0,0,56.3,401.5,3,4,0.8914298401420959,0,24,1351.1999999999998
0,0,1,1,72,1,2,1,2,2,0,2,0,0,2,1,0,90.35,6563.4,2,6,1.0089466888028038,0,72,6505.2
0,0,0,1,31,1,2,1,0,0,0,0,2,0,0,1,1,86.55,2697.4,2,4,1.005348390823876,1,31,2683.0499999999997
0,0,1,0,55,1,2,1,0,0,2,0,0,0,0,1,2,77.75,4458.15,2,4,1.0425372698041508,1,55,4276.25
